               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034246,            0.094783,           0.0056471,             0.70275,             0.75878,             0.77975,             0.50459,            0.029829,            0.073406,           0.0046253,           0.0071125,           0.0071125,           0.0071125
                  37,            0.034448,            0.095718,           0.0052278,             0.69355,             0.75437,             0.77722,             0.50138,            0.029738,            0.073927,            0.004551,             0.00703,             0.00703,             0.00703
                  38,             0.03399,            0.094659,           0.0053044,             0.76606,             0.73875,             0.78624,             0.50257,            0.029797,            0.073396,           0.0047379,           0.0069475,           0.0069475,           0.0069475
                  39,            0.034141,             0.09559,           0.0054341,              0.7522,              0.7376,             0.78385,             0.50707,            0.029583,            0.073258,           0.0044179,            0.006865,            0.006865,            0.006865
                  40,            0.034106,            0.093695,           0.0052851,             0.70445,             0.76721,             0.78456,             0.50649,            0.029645,             0.07337,            0.004509,           0.0067825,           0.0067825,           0.0067825
                  41,            0.033975,            0.093721,           0.0052493,             0.75541,             0.72888,             0.78095,             0.50468,            0.029633,            0.073437,           0.0046482,              0.0067,              0.0067,              0.0067
                  42,            0.033981,            0.093983,           0.0052957,             0.76015,             0.73307,             0.78305,             0.50955,            0.029496,            0.072893,            0.004443,           0.0066175,           0.0066175,           0.0066175
                  43,            0.033403,            0.092644,           0.0051127,             0.72062,             0.76934,             0.78666,             0.50227,            0.029692,            0.073113,           0.0044662,            0.006535,            0.006535,            0.006535
                  44,            0.033437,            0.091019,           0.0050924,             0.77243,             0.73375,             0.78412,             0.50732,            0.029502,            0.073402,           0.0042827,           0.0064525,           0.0064525,           0.0064525
                  45,            0.033439,            0.093172,           0.0051397,              0.7486,             0.73755,             0.77746,             0.50344,            0.029566,            0.073235,           0.0042899,             0.00637,             0.00637,             0.00637
                  46,            0.033273,             0.09209,           0.0050361,              0.7625,              0.7376,             0.78787,             0.50566,            0.029472,            0.073163,           0.0043181,           0.0062875,           0.0062875,           0.0062875
                  47,             0.03362,            0.093252,           0.0050384,             0.77688,             0.72671,             0.78692,             0.50928,            0.029418,            0.073001,           0.0042925,            0.006205,            0.006205,            0.006205
                  48,            0.033171,             0.09313,           0.0049615,             0.78732,             0.72335,             0.78404,             0.51142,             0.02937,            0.073233,           0.0042207,           0.0061225,           0.0061225,           0.0061225
                  49,            0.033348,            0.091757,            0.004937,              0.7671,              0.7392,             0.78772,             0.51261,            0.029337,            0.072651,           0.0043462,             0.00604,             0.00604,             0.00604
                  50,             0.03275,            0.092304,           0.0045558,             0.76951,             0.73092,             0.78807,              0.5119,            0.029307,            0.073207,            0.004319,           0.0059575,           0.0059575,           0.0059575
                  51,            0.032923,            0.090316,           0.0047897,             0.77948,             0.74143,             0.79964,             0.51873,            0.029155,            0.072881,           0.0042621,            0.005875,            0.005875,            0.005875
                  52,            0.032765,            0.091482,           0.0049366,             0.77264,             0.73108,             0.78662,             0.51018,            0.029176,             0.07337,           0.0043434,           0.0057925,           0.0057925,           0.0057925
                  53,            0.033023,             0.09137,            0.004899,             0.78175,             0.73688,             0.79153,             0.51323,            0.029132,            0.073757,           0.0041667,             0.00571,             0.00571,             0.00571
                  54,            0.032725,            0.092199,           0.0047155,             0.78734,             0.74174,             0.79834,             0.51894,            0.029131,            0.073632,           0.0042505,           0.0056275,           0.0056275,           0.0056275
                  55,            0.032596,            0.090651,           0.0049418,             0.79699,             0.73132,             0.79077,             0.51546,            0.029304,            0.073448,           0.0042294,            0.005545,            0.005545,            0.005545
                  56,            0.032398,            0.090817,           0.0045793,             0.78355,             0.72357,             0.78734,             0.51419,            0.029228,            0.073226,           0.0042393,           0.0054625,           0.0054625,           0.0054625
                  57,            0.032339,            0.089488,           0.0045917,             0.78132,             0.73308,             0.79136,             0.51406,            0.029165,            0.073099,           0.0042143,             0.00538,             0.00538,             0.00538
                  58,            0.032236,            0.088959,           0.0045868,             0.80004,             0.71495,             0.79984,             0.51876,            0.029122,            0.073274,           0.0041103,           0.0052975,           0.0052975,           0.0052975
                  59,            0.032438,            0.091626,            0.004786,              0.8442,             0.71259,             0.80236,             0.52551,            0.028979,            0.072231,           0.0041762,            0.005215,            0.005215,            0.005215
                  60,             0.03239,            0.091466,           0.0045745,              0.7724,             0.75257,             0.79742,             0.51966,             0.02901,            0.072594,           0.0041234,           0.0051325,           0.0051325,           0.0051325
                  61,            0.032369,            0.092703,           0.0046398,             0.77376,             0.75408,             0.80166,             0.52304,             0.02902,            0.072506,           0.0041362,             0.00505,             0.00505,             0.00505
                  62,            0.032521,            0.091269,           0.0047008,             0.77014,             0.75621,             0.79586,             0.51692,            0.029034,            0.072301,           0.0040431,           0.0049675,           0.0049675,           0.0049675
                  63,            0.032039,             0.08935,           0.0045593,             0.77776,             0.75012,             0.79673,             0.51924,            0.029013,            0.072806,           0.0040713,            0.004885,            0.004885,            0.004885
                  64,             0.03184,            0.089437,           0.0044954,             0.79882,             0.72167,             0.78909,             0.51709,            0.028828,            0.072635,           0.0041516,           0.0048025,           0.0048025,           0.0048025
                  65,            0.031866,            0.088352,           0.0044175,             0.78211,             0.74763,             0.79983,             0.52058,            0.028958,            0.072532,           0.0040243,             0.00472,             0.00472,             0.00472
                  66,            0.032136,            0.090314,           0.0044397,             0.77801,             0.74401,             0.79825,             0.52101,            0.029018,            0.072812,           0.0040604,           0.0046375,           0.0046375,           0.0046375
                  67,            0.031603,            0.089739,           0.0044157,              0.7778,             0.75136,             0.79805,             0.52162,            0.028898,            0.072615,           0.0040189,            0.004555,            0.004555,            0.004555
                  68,            0.031743,            0.089548,            0.004291,             0.79875,             0.73138,             0.79768,             0.52308,            0.028858,            0.073065,           0.0040316,           0.0044725,           0.0044725,           0.0044725
                  69,            0.032112,             0.08978,           0.0043422,             0.78418,             0.76236,             0.80471,             0.52566,            0.028883,            0.072355,           0.0040921,             0.00439,             0.00439,             0.00439
                  70,            0.031805,            0.090317,            0.004329,             0.80079,             0.73106,             0.80147,             0.52682,            0.028805,            0.072517,           0.0040766,           0.0043075,           0.0043075,           0.0043075
                  71,            0.031683,            0.088466,            0.004388,             0.81372,             0.73944,             0.80553,             0.52771,            0.028832,             0.07237,           0.0040191,            0.004225,            0.004225,            0.004225
                  72,            0.031564,            0.087754,           0.0041283,              0.8281,             0.72286,             0.80554,             0.52819,            0.028751,            0.072507,           0.0039382,           0.0041425,           0.0041425,           0.0041425
                  73,            0.031438,            0.088049,           0.0042285,             0.78797,             0.75409,              0.8067,             0.52695,            0.028811,            0.072514,           0.0039619,             0.00406,             0.00406,             0.00406
                  74,            0.031485,            0.087279,           0.0042519,             0.78109,             0.75605,             0.80625,             0.52974,            0.028749,            0.072611,           0.0039729,           0.0039775,           0.0039775,           0.0039775
                  75,            0.031577,            0.089498,           0.0041084,             0.78176,             0.75608,              0.8035,             0.52812,            0.028745,            0.072695,           0.0039215,            0.003895,            0.003895,            0.003895
                  76,            0.031306,            0.086853,           0.0039531,             0.75308,             0.78556,             0.80487,             0.52807,            0.028786,            0.072474,           0.0040056,           0.0038125,           0.0038125,           0.0038125
                  77,             0.03118,            0.086944,           0.0039875,              0.8002,             0.75045,             0.80663,             0.52923,            0.028676,            0.072451,           0.0040044,             0.00373,             0.00373,             0.00373
                  78,             0.03123,            0.087757,           0.0039607,             0.81777,             0.72713,             0.80527,             0.52949,            0.028677,            0.072653,           0.0040532,           0.0036475,           0.0036475,           0.0036475
                  79,            0.031003,            0.085766,           0.0041152,             0.78804,             0.76147,             0.80995,             0.53142,            0.028669,            0.072915,           0.0040169,            0.003565,            0.003565,            0.003565
                  80,            0.031028,            0.087205,           0.0039064,             0.82421,             0.73974,             0.81105,             0.53253,            0.028658,            0.072416,           0.0039583,           0.0034825,           0.0034825,           0.0034825
                  81,            0.030667,            0.086208,           0.0039324,             0.80065,              0.7586,             0.81219,             0.53298,            0.028566,            0.072508,           0.0038901,              0.0034,              0.0034,              0.0034
                  82,            0.030955,            0.087205,           0.0039908,             0.79998,             0.75875,              0.8107,             0.53033,            0.028631,            0.072735,           0.0039511,           0.0033175,           0.0033175,           0.0033175
                  83,             0.03083,            0.086192,           0.0038643,             0.81032,             0.74808,              0.8112,             0.52994,            0.028623,            0.072565,           0.0040694,            0.003235,            0.003235,            0.003235
                  84,            0.031203,            0.086803,           0.0039199,             0.78431,             0.76945,             0.80605,             0.53206,            0.028564,            0.072756,           0.0039569,           0.0031525,           0.0031525,           0.0031525
                  85,            0.030859,             0.08647,           0.0038566,             0.78857,             0.75969,             0.80685,             0.53175,            0.028569,            0.072654,           0.0039379,             0.00307,             0.00307,             0.00307
                  86,            0.030693,            0.085863,           0.0039511,             0.79333,             0.76153,             0.80674,              0.5297,            0.028603,            0.072547,           0.0040026,           0.0029875,           0.0029875,           0.0029875
                  87,            0.030553,            0.085332,           0.0037593,             0.75939,              0.7862,             0.81243,              0.5345,            0.028552,            0.072634,           0.0038941,            0.002905,            0.002905,            0.002905
                  88,            0.030729,            0.085051,           0.0037909,             0.80731,             0.75022,             0.81184,             0.53683,            0.028568,            0.072739,           0.0039557,           0.0028225,           0.0028225,           0.0028225
                  89,            0.030599,            0.085912,           0.0038533,             0.78839,              0.7725,             0.81425,             0.53628,            0.028525,            0.072543,           0.0039283,             0.00274,             0.00274,             0.00274
                  90,            0.030517,            0.085182,           0.0037995,             0.81249,             0.74738,             0.80669,             0.53118,            0.028589,            0.072826,           0.0040666,           0.0026575,           0.0026575,           0.0026575
                  91,            0.030504,            0.086239,           0.0037393,             0.81119,             0.74369,             0.80822,             0.53467,            0.028554,            0.072873,           0.0040414,            0.002575,            0.002575,            0.002575
                  92,             0.03046,            0.085974,           0.0036158,              0.8241,             0.74287,             0.80899,             0.53385,            0.028581,            0.072642,           0.0039998,           0.0024925,           0.0024925,           0.0024925
                  93,            0.030532,             0.08389,            0.003801,             0.79182,             0.75506,              0.8084,              0.5343,            0.028529,            0.072658,           0.0040505,             0.00241,             0.00241,             0.00241
                  94,            0.030202,            0.084999,           0.0034636,             0.78609,             0.76562,             0.81132,             0.53569,            0.028512,            0.072504,           0.0039792,           0.0023275,           0.0023275,           0.0023275
                  95,            0.030074,            0.084704,           0.0035486,              0.7843,              0.7584,             0.80681,             0.53342,            0.028459,            0.072677,           0.0040175,            0.002245,            0.002245,            0.002245
                  96,              0.0301,             0.08358,           0.0036604,             0.76555,             0.77569,             0.81007,             0.53566,            0.028406,            0.072751,            0.004015,           0.0021625,           0.0021625,           0.0021625
                  97,            0.030203,             0.08365,           0.0038068,              0.7783,             0.75691,             0.80339,             0.53175,            0.028426,            0.072634,           0.0039813,             0.00208,             0.00208,             0.00208
                  98,            0.029971,            0.083518,           0.0034596,              0.7792,             0.76897,             0.81126,             0.53625,            0.028378,            0.072883,           0.0039447,           0.0019975,           0.0019975,           0.0019975
                  99,            0.030173,            0.084753,           0.0036008,             0.78234,             0.76347,             0.80946,             0.53563,            0.028366,            0.073234,           0.0039438,            0.001915,            0.001915,            0.001915
                 100,            0.030412,            0.084849,           0.0036512,             0.79801,             0.75433,             0.80733,             0.53455,            0.028424,            0.073105,           0.0039814,           0.0018325,           0.0018325,           0.0018325
                 101,            0.029788,            0.082981,           0.0035632,             0.80294,             0.73834,             0.80629,             0.53318,            0.028402,            0.073662,           0.0039679,             0.00175,             0.00175,             0.00175
                 102,            0.029952,            0.083809,           0.0033676,             0.79102,             0.75873,              0.8103,             0.53551,            0.028361,            0.072787,           0.0039466,           0.0016675,           0.0016675,           0.0016675
                 103,            0.029999,             0.08382,           0.0033164,             0.81321,              0.7353,             0.80585,             0.53538,             0.02838,            0.072911,           0.0040058,            0.001585,            0.001585,            0.001585
                 104,            0.029812,            0.082928,           0.0034702,             0.81456,             0.73721,             0.80316,              0.5339,            0.028365,            0.073288,           0.0040365,           0.0015025,           0.0015025,           0.0015025
                 105,            0.029857,             0.08377,             0.00341,             0.77571,             0.77032,             0.80814,             0.53491,            0.028336,            0.073135,           0.0039685,             0.00142,             0.00142,             0.00142
                 106,            0.029603,             0.08178,            0.003293,             0.80672,             0.74235,             0.80433,             0.53392,            0.028361,            0.073286,           0.0039976,           0.0013375,           0.0013375,           0.0013375
                 107,            0.030033,            0.084737,           0.0034629,             0.81471,             0.74118,             0.80631,             0.53433,            0.028357,            0.073192,            0.004025,            0.001255,            0.001255,            0.001255
                 108,            0.029726,             0.08364,           0.0033029,             0.81162,             0.73363,             0.80477,             0.53215,            0.028384,            0.073466,           0.0039916,           0.0011725,           0.0011725,           0.0011725
                 109,            0.030035,            0.083934,           0.0034166,             0.78406,             0.76105,             0.80572,              0.5334,            0.028376,            0.073519,           0.0040187,             0.00109,             0.00109,             0.00109
                 110,            0.029516,            0.082452,           0.0034752,             0.79127,             0.76103,             0.80709,             0.53571,             0.02839,            0.073469,           0.0040352,           0.0010075,           0.0010075,           0.0010075
                 111,             0.02949,            0.082505,           0.0031866,             0.81182,             0.73803,             0.80727,             0.53542,            0.028323,            0.073245,           0.0040343,            0.000925,            0.000925,            0.000925
                 112,            0.029872,            0.084634,           0.0033515,             0.75866,             0.78494,             0.80738,             0.53384,            0.028321,            0.073482,           0.0040494,           0.0008425,           0.0008425,           0.0008425
                 113,            0.029557,            0.083123,            0.003459,             0.79046,             0.75753,             0.80662,             0.53513,            0.028285,            0.073362,           0.0039737,             0.00076,             0.00076,             0.00076
                 114,            0.029242,            0.080376,           0.0032342,             0.80692,             0.74667,             0.80916,             0.53603,            0.028285,            0.073338,           0.0039683,           0.0006775,           0.0006775,           0.0006775
                 115,            0.029222,            0.079568,           0.0032982,             0.81554,             0.73718,             0.80869,             0.53727,            0.028284,            0.073559,           0.0039807,            0.000595,            0.000595,            0.000595
                 116,            0.029571,            0.083431,           0.0033391,             0.79147,              0.7598,             0.80767,             0.53571,            0.028293,            0.073808,           0.0039967,           0.0005125,           0.0005125,           0.0005125
                 117,            0.029666,            0.081994,           0.0032644,             0.81028,              0.7416,             0.80737,             0.53575,            0.028298,            0.073641,           0.0039514,             0.00043,             0.00043,             0.00043
                 118,             0.02959,             0.08193,           0.0032004,             0.80312,             0.74942,              0.8083,             0.53624,            0.028274,            0.073448,            0.003981,           0.0003475,           0.0003475,           0.0003475
                 119,            0.029381,            0.081409,           0.0031739,             0.80164,             0.75078,             0.80856,             0.53717,            0.028287,             0.07345,           0.0040083,            0.000265,            0.000265,            0.000265
